school_name,average_math,borough,total_SAT
Stuyvesant High School,754,Manhattan,2144
Bronx High School of Science,714,Bronx,2041
Staten Island Technical High School,711,Staten Island,2041
Queens High School for the Sciences at York College,701,Queens,1947
High School for Mathematics Science and Engineering at City College,683,Manhattan,1889
Brooklyn Technical High School,682,Brooklyn,1896
Townsend Harris High School,680,Queens,1981
High School of American Studies at Lehman College,669,Bronx,2013
New Explorations into Science Technology and Math High School,657,Manhattan,1859
Eleanor Roosevelt High School,641,Manhattan,1889
